DateTime,Q1,Q2,Q3,Q4,Q5,Q6,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Comments,ID,App
12/07/2018 10.56.04,Very trustable,Neutral,Absolutely yes,Absolutely yes,Yes,Yes,5 - Strongly agree,4 - Agree,5 - Strongly agree,3 - Neutral,4 - Agree,2 - Disagree,3 - Neutral,3 - Neutral,4 - Agree,2 - Disagree,Non richiederei i permessi tutti all'avvio dell'app ma man mano che si utilizzano le feature. ,36,tutte
13/07/2018 17.46.36,Very trustable,Very likely,Absolutely yes,Absolutely yes,Yes,Absolutely yes,5 - Strongly agree,2 - Disagree,5 - Strongly agree,1 - Strongly disagree,4 - Agree,3 - Neutral,5 - Strongly agree,1 - Strongly disagree,5 - Strongly agree,1 - Strongly disagree,,37,tutte
15/07/2018 16.25.16,Trustable,Likely,Yes,Yes,Yes,Yes,4 - Agree,2 - Disagree,4 - Agree,2 - Disagree,4 - Agree,2 - Disagree,4 - Agree,2 - Disagree,4 - Agree,2 - Disagree,,38,tutte
16/07/2018 19.53.47,Trustable,Likely,Yes,Yes,Absolutely yes,Absolutely yes,4 - Agree,2 - Disagree,4 - Agree,2 - Disagree,4 - Agree,1 - Strongly disagree,4 - Agree,2 - Disagree,4 - Agree,2 - Disagree,Ho apprezzato di avere subito una panoramica delle funzionalità dell'app e dei permessi usati da ciascuna.  ,39,tutte
17/07/2018 11.14.38,Trustable,Likely,Absolutely yes,Absolutely yes,Yes,Yes,4 - Agree,2 - Disagree,4 - Agree,3 - Neutral,4 - Agree,1 - Strongly disagree,4 - Agree,1 - Strongly disagree,2 - Disagree,1 - Strongly disagree,Non mi è chiaro se il permesso è valido solo durante l'utilizzo dell'app o sempre (anche in background).,40,tutte
17/07/2018 11.39.25,Very trustable,Very likely,Yes,No,Yes,Absolutely yes,5 - Strongly agree,1 - Strongly disagree,5 - Strongly agree,1 - Strongly disagree,4 - Agree,1 - Strongly disagree,4 - Agree,1 - Strongly disagree,5 - Strongly agree,1 - Strongly disagree,Ho apprezzato di avere una panoramica delle funzionalità e delle risorse usate all'avvio dell'app.,41,tutte
17/07/2018 11.55.26,Neutral,Likely,Absolutely yes,Absolutely yes,Yes,Yes,3 - Neutral,1 - Strongly disagree,4 - Agree,1 - Strongly disagree,4 - Agree,2 - Disagree,4 - Agree,2 - Disagree,3 - Neutral,1 - Strongly disagree,,42,tutte
17/07/2018 12.29.16,Trustable,Likely,Absolutely yes,Absolutely yes,Yes,Yes,4 - Agree,1 - Strongly disagree,4 - Agree,1 - Strongly disagree,5 - Strongly agree,1 - Strongly disagree,5 - Strongly agree,2 - Disagree,4 - Agree,2 - Disagree,Anche con questo sistema vorrei una spiegazione del perchè mi viene richiesto un permesso.,43,tutte
17/07/2018 12.50.22,Trustable,Likely,Yes,Yes,Absolutely yes,Absolutely yes,4 - Agree,2 - Disagree,4 - Agree,1 - Strongly disagree,4 - Agree,3 - Neutral,4 - Agree,2 - Disagree,4 - Agree,1 - Strongly disagree,,44,tutte
17/07/2018 13.47.43,Very trustable,Very likely,Absolutely yes,Absolutely yes,Absolutely yes,Absolutely yes,5 - Strongly agree,2 - Disagree,4 - Agree,1 - Strongly disagree,5 - Strongly agree,1 - Strongly disagree,5 - Strongly agree,1 - Strongly disagree,5 - Strongly agree,1 - Strongly disagree,,45,tutte
17/07/2018 15.06.56,Trustable,Neutral,Yes,Yes,Yes,Yes,3 - Neutral,3 - Neutral,4 - Agree,2 - Disagree,3 - Neutral,3 - Neutral,4 - Agree,2 - Disagree,3 - Neutral,2 - Disagree,,46,tutte
17/07/2018 15.35.13,Trustable,Likely,Yes,Yes,Yes,Yes,4 - Agree,2 - Disagree,4 - Agree,2 - Disagree,4 - Agree,1 - Strongly disagree,4 - Agree,2 - Disagree,3 - Neutral,1 - Strongly disagree,,47,tutte
