app,apktool_d,dex2jar,zip,bcel,dx,apktool_a,jarsigner
com.dollargeneral.android,0.78,4.32,1.24,2.41,10.93,1.48,0.94
com.dominospizza,2.28,11.07,5.27,11.68,38.80,4.22,2.70
com.eAlimTech.PTIMES,0.88,2.83,2.06,3.02,7.00,2.58,1.71
com.edmunds,1.12,8.26,2.95,5.62,21.54,3.00,1.78
com.emn8.mobilem8.nativeapp.bk,1.62,7.49,5.09,8.73,20.28,2.88,2.12
com.en.sennik,0.29,1.20,0.37,1.45,3.18,0.65,0.39
com.epicurious,0.52,1.12,0.40,1.83,3.40,0.79,0.63
com.evernote.food,1.16,5.25,4.84,13.75,13.99,2.61,1.61
com.factappslab.jwdotorg,0.62,4.20,3.82,3.24,26.04,1.43,0.98
com.familyandco.framilywall,1.08,7.47,11.42,19.56,16.61,3.12,1.97
com.fananim.full.free,0.65,6.39,5.13,5.24,17.97,2.01,2.98
com.fivestars.FiveStarsConsumer,1.21,9.94,12.91,10.76,22.69,3.00,1.91
com.fmgf.free,0.76,8.33,10.38,3.56,21.53,2.56,1.61
com.foodnetwork.ontheroad,1.14,8.78,11.51,13.30,22.67,3.82,2.11
com.forbiz.s5experience,1.00,2.12,1.98,3.54,4.63,1.89,1.28
com.forrent.frmobile,0.89,5.31,4.92,7.36,11.76,6.73,4.30
com.friendtrusted.androidapp,0.83,8.13,8.63,9.37,20.59,2.43,1.50
com.ftw_and_co.happn,0.61,9.31,10.04,8.00,24.06,2.53,1.67
com.generalmills.cookbook,0.87,1.84,0.67,2.41,4.38,1.90,1.40
com.getpebble.android,1.41,10.50,13.37,19.85,28.91,3.90,2.54
com.giantfood.mobile.droid,0.29,1.81,0.62,0.63,3.92,0.65,0.37
com.gigwalk,1.41, 6.62,6.55,14.78,18.65,3.18,2.06
com.goanyware.tgif,0.93,5.27,4.92,8.23,12.31,2.39,1.55
com.goldengekko.sterling.jared.prod,1.19,11.15,4.48,11.83,49.12,3.62,2.12
com.goldengekko.sterling.kay.prod,1.30,11.37,4.14,11.82,48.46,3.52,2.10
com.google.android.apps.helpouts,1.38,6.57,4.66,10.47,28.69,2.06,1.26
com.greatclips.android,0.41,0.96,0.06,0.16,2.99,0.73,0.45
com.greenskylabs.vinny,0.92,11.08,4.36,15.65,23.15,3.35,2.04
com.grigerlab.vktattoo,0.95,9.41,3.60,13.26,27.35,2.85,1.79
com.hantor.CozyMag,0.71,3.59,0.80,0.99,11.33,1.27,0.77
com.har.androidapp,0.86,7.15,3.59,3.68,34.07,2.16,1.35
com.harristeeter.htmobile,2.67,10.18,4.57,12.20,22.80,5.38,3.08
com.hemisphere3.tarot,1.06,4.76,1.74,4.96,15.47,2.56,1.35
com.hgtv.watcher,1.03,6.74,3.35,9.36,15.71,2.39,1.42
com.hhgregg.mobileenterprise,1.56,11.07,5.31,15.34,23.99,3.45,2.17
com.hip2save.android,1.62,8.50,4.20,5.42,22.82,2.97,1.80
